Gene_symbol,Count,Proportion(%)
CA13,149,0.0162
PHYHD1,149,0.0162
GINS4,148,0.0161
MRPS15,148,0.0161
OTUB2,148,0.0161
LIF,148,0.0161
DBH,148,0.0161
COPE,148,0.0161
HRAS,148,0.0161
KCNU1,148,0.0161
FSCN2,148,0.0161
ACOT2,148,0.0161
DDX49,148,0.0161
KLK12,148,0.0161
B9D2,148,0.0161
LGALS8,147,0.016
NUDT5,147,0.016
ACP7,147,0.016
ROPN1L,147,0.016
FNTB,147,0.016
CIB4,147,0.016
AMDHD2,147,0.016
ADH1A,147,0.016
EML5,147,0.016
FBP2,147,0.016
SGCG,147,0.016
ITPA,147,0.016
SETMAR,147,0.016
NMNAT3,147,0.016
ALDH1A3,147,0.016
CHRNA2,147,0.016
SIRT7,147,0.016
PGM3,147,0.016
ALDH1A2,147,0.016
CCT6A,147,0.016
LCMT2,147,0.016
DHODH,147,0.016
NIPSNAP3A,147,0.016
IGKV1-16,146,0.0159
RNASE3,146,0.0159
RDH13,146,0.0159
CBLN3,146,0.0159
PNPO,146,0.0159
ATL1,146,0.0159
HADH,146,0.0159
CABP5,146,0.0159
SCRN1,146,0.0159
PSMG2,146,0.0159
BDH1,146,0.0159
STAMBP,146,0.0159
TMEM126A,146,0.0159
HK2,146,0.0159
HSD17B8,146,0.0159
GALNT8,146,0.0159
PALB2,146,0.0159
EOGT,146,0.0159
CCT8,145,0.0158
UBA3,145,0.0158
IFNW1,145,0.0158
BHMT,145,0.0158
DPH6,145,0.0158
MNS1,145,0.0158
UROD,145,0.0158
RAB37,145,0.0158
ACOT8,145,0.0158
LZTR1,145,0.0158
PCCA,145,0.0158
CHMP2B,145,0.0158
IDUA,145,0.0158
TSEN34,145,0.0158
FEZ2,145,0.0158
NAA16,145,0.0158
TAS1R3,145,0.0158
IDE,145,0.0158
C19orf12,145,0.0158
SELENBP1,145,0.0158
IFNB1,145,0.0158
MAN2C1,144,0.0157
AGPAT2,144,0.0157
ACO2,144,0.0157
VPS33B,144,0.0157
CST2,144,0.0157
NTHL1,144,0.0157
RPL3L,144,0.0157
TUBB3,144,0.0157
CRTAP,144,0.0157
AKR1C4,144,0.0157
POLG2,144,0.0157
SSX1,143,0.0156
TMEM70,143,0.0156
ABHD1,143,0.0156
NME3,143,0.0156
LDHC,143,0.0156
RAD54L,143,0.0156
USP17L7,143,0.0156
PPCDC,143,0.0156
WNT2,143,0.0156
XYLT1,143,0.0156
ECHS1,143,0.0156
CHMP4A,143,0.0156
KARS1,143,0.0156
IL20,143,0.0156
GBE1,143,0.0156
AQP9,143,0.0156
KCTD14,142,0.0155
TRPM5,142,0.0155
CHRNA4,142,0.0155
CAPSL,142,0.0155
HPGDS,142,0.0155
TBL3,142,0.0155
DCXR,142,0.0155
SPMIP3,142,0.0155
JRK,142,0.0155
GUCY2D,142,0.0155
DDX25,142,0.0155
LRRK2,142,0.0155
CFAP95,142,0.0155
NDUFA8,142,0.0155
MSTO1,142,0.0155
KLHL17,142,0.0155
ASB5,142,0.0155
ISG20,141,0.0154
CPA1,141,0.0154
RBP3,141,0.0154
GNAT1,141,0.0154
BBS1,141,0.0154
ALAD,141,0.0154
IFIT2,141,0.0154
HDHD5,141,0.0154
XAB2,141,0.0154
SDHAF3,141,0.0154
IFT70B,141,0.0154
RAB26,141,0.0154
IFT70A,141,0.0154
BLOC1S4,141,0.0154
HMGCL,141,0.0154
ISOC2,140,0.0152
CFAP61,140,0.0152
IGLV6-57,140,0.0152
GPX2,140,0.0152
LANCL1,140,0.0152
CRYBB3,140,0.0152
MTG2,140,0.0152
DHX33,140,0.0152
FAH,140,0.0152
MTHFD1L,140,0.0152
ODC1,140,0.0152
MRPL4,140,0.0152
BLK,140,0.0152
LGALS14,139,0.0151
LDHAL6A,139,0.0151
SLC10A2,139,0.0151
CHRNA10,139,0.0151
GTPBP8,139,0.0151
GDPGP1,139,0.0151
ANKRD44,139,0.0151
HIBCH,139,0.0151
AKR1B10,139,0.0151
H2AC15,139,0.0151
MRPS16,139,0.0151
SPDYE3,139,0.0151
UTP4,139,0.0151
UPP2,139,0.0151
IREB2,139,0.0151
SULT1A2,139,0.0151
RNASE4,139,0.0151
IL17D,139,0.0151
MOGAT3,139,0.0151
FBXO36,139,0.0151
GALE,139,0.0151
NIPSNAP3B,139,0.0151
PIK3R3,139,0.0151
CIB2,139,0.0151
IFNL1,139,0.0151
OAZ1,139,0.0151
ALDH1A1,139,0.0151
DCTPP1,139,0.0151
ROPN1,138,0.015
QTRT2,138,0.015
TFPI2,138,0.015
TNFAIP8L2,138,0.015
MTHFD2L,138,0.015
BCO1,138,0.015
MRPS34,138,0.015
IL1F10,138,0.015
HSD17B2,138,0.015
NUDT1,138,0.015
PGAM2,138,0.015
QDPR,138,0.015
GYS1,138,0.015
CHMP1B,138,0.015
CFD,138,0.015
NAT1,138,0.015
IGHV3-13,138,0.015
EML2,138,0.015
HPDL,137,0.0149
BAAT,137,0.0149
JMJD8,137,0.0149
CDC14C,137,0.0149
TLDC2,137,0.0149
STOML3,137,0.0149
RTCA,137,0.0149
NQO2,137,0.0149
EID3,137,0.0149
CRPPA,137,0.0149
ADIPOQ,137,0.0149
PFKFB4,137,0.0149
TSR3,137,0.0149
OGFOD3,137,0.0149
EIF2B3,137,0.0149
PPAN,137,0.0149
EXT2,137,0.0149
IGLV3-9,137,0.0149
DPT,137,0.0149
PNKP,137,0.0149
CIMAP1C,137,0.0149
PSME1,137,0.0149
ART1,137,0.0149
GUCA1A,137,0.0149
ASAH1,137,0.0149
PDHB,136,0.0148
C8orf74,136,0.0148
GFM1,136,0.0148
NOC4L,136,0.0148
ECHDC3,136,0.0148
ARSI,136,0.0148
GUCA1B,136,0.0148
ADCY10,136,0.0148
MMAA,136,0.0148
BBS4,136,0.0148
PYGB,136,0.0148
CHMP2A,136,0.0148
PSG6,136,0.0148
COLGALT2,136,0.0148
FUT3,136,0.0148
